dataset,model,n_samples,coverage,accuracy,macro_f1,weighted_f1,all_agree_rate,major_vote_accuracy
ag_news,qwen_1_5b,50,1.0,0.6,0.5725961538461539,0.5756923076923077,0.0,0.62
ag_news,llama_8b,50,0.0,,,,0.0,0.62
ag_news,gpt_oss_20b,50,0.2,0.9,0.9272727272727272,0.8945454545454545,0.0,0.62
ag_news,mixtral_8x22b,50,0.4,0.9,0.9045454545454545,0.9,0.0,0.62
ag_news,major_vote,50,0.94,0.6595744680851063,0.6233516483516484,0.6357961187748421,0.0,0.62
social_bias_frames,qwen_1_5b,50,0.9,0.4888888888888889,0.41492368569813454,0.4565291124929339,0.0,0.24
social_bias_frames,llama_8b,50,0.4,0.35,0.30666666666666664,0.3413333333333333,0.0,0.24
social_bias_frames,gpt_oss_20b,50,0.2,0.1,0.09090909090909091,0.09090909090909091,0.0,0.24
social_bias_frames,mixtral_8x22b,50,0.8,0.2,0.1919191919191919,0.20808080808080803,0.0,0.24
social_bias_frames,major_vote,50,0.82,0.2926829268292683,0.27720364741641335,0.2797835273185558,0.0,0.24
tweet_sentiment,qwen_1_5b,50,1.0,0.6,0.5596371882086167,0.5872108843537415,0.22,0.64
tweet_sentiment,llama_8b,50,0.4,0.7,0.6278867102396514,0.6887581699346406,0.22,0.64
tweet_sentiment,gpt_oss_20b,50,0.8,0.75,0.7144747725392887,0.7455831265508686,0.22,0.64
tweet_sentiment,mixtral_8x22b,50,0.7,0.7714285714285715,0.7358851674641148,0.7651948051948052,0.22,0.64
tweet_sentiment,major_vote,50,0.94,0.6808510638297872,0.6323815073815074,0.667119228289441,0.22,0.64
