model_a,model_b,both_correct,a_only,b_only,both_wrong,disagreements,p_value_exact
train1000,train100,132,1134,1490,2244,2624,3.903552239670895e-12
train1000,train5000,18,1248,1252,2482,2500,0.952157222765074
train100,train5000,362,1260,908,2470,2168,4.198210492365656e-14
